,fitness,expression,depth,length
alpha_62,1.2638683892941849,"ta_mfi_14(cos(ta_aroonosc_25(sqrt(ta_aroonosc_25(open, open)), ts_sma_21(sub(open, open)))), div(div(abs(div(volume, volume)), ta_mfi_14(abs(volume), div(low, low), ta_aroonosc_25(close, open), mul(high, volume))), abs(div(sin(close), tan(low)))), cos(tan(ta_mfi_14(sqrt(close), log(open), sqrt(open), ts_sma_21(open)))), ta_aroonosc_25(ts_skew_10(ta_aroonosc_25(div(high, open), ts_sma_21(high))), sqrt(ts_sma_21(div(high, high)))))",5,59
alpha_55,1.2491445084469324,"ta_mfi_14(div(div(ta_aroonosc_25(ta_aroonosc_25(high, volume), abs(close)), ta_aroonosc_25(add(low, volume), ta_aroonosc_25(volume, open))), ts_sma_21(ts_sma_21(sub(open, high)))), sin(ta_aroonosc_25(ta_aroonosc_25(tan(open), ts_skew_10(high)), div(sin(open), cos(volume)))), add(sub(abs(mul(high, close)), ta_aroonosc_25(sub(close, low), mul(close, close))), ts_sma_21(ts_sma_21(ta_trima_8(close)))), mul(tan(ts_skew_10(abs(close))), sqrt(ta_trima_8(log(open)))))",5,59
alpha_35,0.971241383169869,"ta_mfi_14(sqrt(sub(log(sub(volume, low)), abs(div(low, high)))), div(sin(div(abs(close), ta_trima_8(high))), div(mul(cos(open), ta_mfi_14(volume, volume, low, volume)), ts_sma_21(ta_trima_8(open)))), ta_trima_8(sqrt(tan(ta_mfi_14(low, close, open, open)))), log(ts_sma_21(ta_trima_8(ts_skew_10(volume)))))",5,43
alpha_32,0.918406974932776,"ta_mfi_14(ta_aroonosc_25(low, tan(tan(close))), close, ta_mfi_14(tan(sub(high, open)), abs(sin(open)), tan(sin(open)), low), ta_mfi_14(ta_mfi_14(add(open, high), cos(close), ts_sma_21(high), abs(volume)), volume, cos(tan(open)), mul(sin(high), ta_mfi_14(high, volume, open, volume))))",4,42
alpha_90,0.8996837116477733,"ta_mfi_14(sqrt(low), high, div(high, ts_skew_10(open)), abs(sub(low, ta_aroonosc_25(tan(low), low))))",5,15
alpha_53,0.8551918933057956,"cos(tan(ta_aroonosc_25(sub(ta_mfi_14(high, volume, close, open), abs(high)), div(ta_mfi_14(low, low, volume, low), div(low, open)))))",5,20
alpha_74,0.8459684174595352,"cos(div(sub(mul(low, volume), add(volume, close)), add(ta_trima_8(close), tan(low))))",4,14
alpha_99,0.8381720584522953,"mul(ta_aroonosc_25(sqrt(volume), abs(close)), sin(open))",3,8
alpha_71,0.8363982861074796,"sin(ta_trima_8(add(sub(sqrt(low), cos(close)), ta_aroonosc_25(mul(volume, close), mul(low, open)))))",5,15
alpha_86,0.8331417354672077,"sub(ta_trima_8(cos(div(high, close))), log(abs(abs(low))))",4,10
alpha_87,0.8307638846240212,"ta_trima_8(ta_trima_8(sqrt(div(sqrt(high), mul(open, low)))))",5,9
alpha_98,0.8259672341344451,"ta_mfi_14(close, volume, sin(close), ta_trima_8(close))",2,7
alpha_97,0.8252488539818106,"log(abs(sub(close, sub(low, close))))",4,7
alpha_85,0.8207065584197517,"cos(ta_trima_8(log(add(tan(high), sub(high, open)))))",5,9
alpha_100,0.8114218102551188,"sin(ta_trima_8(ta_aroonosc_25(close, close)))",3,5
alpha_84,0.808698633516187,"cos(ta_aroonosc_25(low, log(ts_sma_21(sub(low, volume)))))",5,8
alpha_76,0.7963615050360244,"sqrt(ts_skew_10(mul(sub(open, volume), ta_aroonosc_25(high, open))))",4,9
alpha_83,0.7960632011655684,"cos(ta_aroonosc_25(ts_skew_10(low), sqrt(cos(low))))",4,7
alpha_75,0.7960185701728767,"sin(mul(tan(ts_skew_10(open)), log(mul(low, volume))))",4,9
alpha_56,0.7914707902388243,"ts_skew_10(ta_aroonosc_25(abs(log(sin(volume))), ts_sma_21(ta_aroonosc_25(div(volume, low), sin(low)))))",5,13
alpha_80,0.7901068875903119,"sin(add(ta_aroonosc_25(log(close), abs(volume)), close))",4,8
alpha_64,0.7881900473597012,"sin(abs(sub(ts_skew_10(div(high, volume)), ts_skew_10(add(volume, low)))))",5,11
alpha_95,0.7852025307612043,log(abs(high)),2,3
alpha_67,0.7820159038223421,"sin(ta_mfi_14(cos(volume), sin(open), log(low), ta_trima_8(open)))",3,10
alpha_65,0.7810349887620619,"tan(sin(ts_sma_21(sub(div(low, high), sub(high, volume)))))",5,10
alpha_89,0.7785436205845362,cos(tan(close)),2,3
alpha_81,0.776471871419145,"log(sqrt(ta_trima_8(sub(close, low))))",4,6
alpha_94,0.7752025307612043,log(high),1,2
alpha_93,0.7734770983004225,log(close),1,2
alpha_91,0.7734515858481216,log(open),1,2
alpha_82,0.7724502445414725,sin(sqrt(ts_skew_10(abs(close)))),4,5
alpha_88,0.7723674262832949,cos(sin(close)),2,3
alpha_72,0.7716958384874013,"log(ta_aroonosc_25(add(close, volume), mul(high, volume)))",3,8
alpha_79,0.7674581463035717,"sin(sub(cos(log(high)), volume))",4,6
alpha_41,0.75470592942267,"cos(cos(ta_mfi_14(add(high, open), tan(volume), ta_mfi_14(open, volume, close, high), add(high, close))))",4,16
alpha_73,0.7532363155689372,"div(ta_aroonosc_25(high, volume), abs(high))",2,6
alpha_66,0.7512904811709165,"cos(cos(log(sin(sub(volume, close)))))",5,7
alpha_78,0.7471553721178867,"cos(sub(high, volume))",2,4
alpha_77,0.746860128239835,"cos(ta_aroonosc_25(close, volume))",2,4
alpha_70,0.7455568691419394,"sin(mul(open, log(log(open))))",4,6
alpha_58,0.7387425605269531,"sin(ts_sma_21(ta_mfi_14(open, close, close, low)))",3,7
alpha_68,0.734656962451072,ta_trima_8(sqrt(log(abs(volume)))),4,5
