,fitness,expression,depth,length
alpha_12,0.0324025706914579,"sub(high, high)",1,3
alpha_2,0.042402570691457905,"log(div(volume, volume))",2,4
alpha_4,0.042402570691457905,"sub(abs(open), open)",2,4
alpha_29,0.04293625797634371,"abs(div(open, volume))",2,4
alpha_30,0.04293625797983643,"abs(div(close, volume))",2,4
alpha_35,0.04298691500820205,"sqrt(div(low, volume))",2,4
alpha_45,0.04472230937880838,"log(div(high, low))",2,4
alpha_48,0.04877536496295801,"abs(sub(low, high))",2,4
alpha_25,0.052936246425982596,"div(log(close), abs(volume))",2,5
alpha_26,0.05293625276365892,"div(open, mul(low, volume))",2,5
alpha_27,0.05293625453554377,"div(sqrt(low), abs(volume))",2,5
alpha_33,0.05295633388337904,"div(log(open), sqrt(volume))",2,5
alpha_36,0.0529869681796835,"div(sqrt(close), sqrt(volume))",2,5
alpha_41,0.05335711467988495,"div(sub(close, open), low)",2,5
alpha_47,0.05530679091360557,"sub(abs(open), abs(close))",2,5
alpha_53,0.06037246521598494,"mul(open, sub(high, open))",2,5
alpha_5,0.0624025706914579,"mul(sub(high, high), sqrt(high))",2,6
alpha_17,0.062589640477374,"div(log(high), sub(high, volume))",2,6
alpha_28,0.06293625797632751,"abs(div(open, sub(open, volume)))",3,6
alpha_43,0.06395561310921011,"mul(low, div(high, sqrt(volume)))",3,6
alpha_52,0.07022191639800279,"mul(open, sub(abs(close), high))",3,6
alpha_10,0.0724025706914579,"abs(div(sub(close, close), sqrt(high)))",3,7
alpha_18,0.0726501155073377,"div(div(low, open), sub(close, volume))",2,7
alpha_23,0.07293623760705219,"div(div(low, volume), mul(volume, high))",2,7
alpha_37,0.07298701979610842,"abs(abs(div(sqrt(high), sqrt(volume))))",4,7
alpha_1,0.0824025706914579,"log(div(sub(volume, high), sub(high, volume)))",3,8
alpha_51,0.09020606762366924,"mul(abs(abs(close)), abs(sub(close, high)))",3,8
alpha_59,0.09105203078606666,"div(abs(open), sqrt(sqrt(volume)))",3,6
alpha_6,0.0924025706914579,"div(log(div(abs(open), mul(volume, close))), low)",4,9
alpha_11,0.0924025706914579,"log(div(add(div(close, high), abs(open)), volume))",4,9
alpha_24,0.09293623763152324,"div(div(abs(sub(high, open)), sqrt(close)), volume)",4,9
alpha_34,0.09296962358768611,"div(abs(div(high, close)), sqrt(mul(volume, high)))",3,9
alpha_40,0.09301710148094564,"div(log(add(open, high)), sqrt(div(volume, low)))",3,9
alpha_61,0.09544236071719428,"sqrt(sub(high, close))",2,4
alpha_39,0.10300618646876619,"div(abs(low), add(sqrt(sub(volume, open)), log(open)))",4,10
alpha_54,0.11054080653022177,"mul(log(sqrt(sqrt(high))), abs(sqrt(sub(open, high))))",4,10
alpha_3,0.1124025706914579,"mul(sqrt(sub(volume, volume)), div(div(volume, close), sqrt(close)))",3,11
alpha_19,0.11269246733224315,"div(log(log(open)), div(sub(close, volume), add(close, close)))",3,11
alpha_57,0.11456496657923788,"mul(abs(sub(open, low)), abs(mul(low, close)))",3,9
alpha_46,0.11499984950834433,"mul(div(abs(high), mul(volume, low)), abs(mul(low, low)))",3,11
alpha_60,0.1180079072356669,"sqrt(mul(log(high), sub(close, open)))",3,7
