,fitness,expression,depth,length
alpha_1,249.16179523933164,"sqrt(sqrt(abs(abs(div(close, close)))))",5,7
alpha_2,249.12535893867926,"cos(sub(open, close))",2,4
alpha_3,238.10926879640877,"div(sqrt(close), sqrt(high))",2,5
alpha_4,187.69952197047107,"div(close, open)",1,3
alpha_5,30.531297543120758,abs(ta_lr_angle_20(volume)),2,3
alpha_6,14.72437657308895,"log(sub(open, volume))",2,4
alpha_7,14.66653118926108,log(volume),1,2
alpha_8,11.550864780507354,"div(log(abs(close)), log(open))",3,6
alpha_9,11.402814159807782,sin(sqrt(high)),2,3
alpha_10,11.331157564119797,abs(sin(sqrt(abs(low)))),4,5
alpha_11,8.940727070349057,sqrt(sqrt(open)),2,3
alpha_12,8.940715435731125,sqrt(sqrt(low)),2,3
alpha_13,8.835518836895483,"abs(log(mul(mul(low, volume), ts_min_5(open))))",4,8
alpha_14,8.072019673978152,"cos(ta_dema_8(ts_wma_55(div(high, close))))",4,6
alpha_15,5.881768495109199,"sqrt(div(mul(volume, div(close, volume)), cos(sin(low))))",4,10
alpha_16,4.874662873728155,"log(sub(ts_wma_8(ts_min_5(open)), sqrt(log(volume))))",4,8
alpha_17,4.72390491547342,"sqrt(add(low, low))",2,4
alpha_18,4.714206712895851,"add(close, sin(low))",2,4
alpha_20,4.692549403906167,sqrt(close),1,2
alpha_19,4.6829848162788705,abs(sqrt(high)),2,3
alpha_21,4.6817974522971895,abs(sqrt(low)),2,3
alpha_22,4.220097888266505,"add(close, cos(sqrt(open)))",3,5
alpha_23,4.177339649832793,"add(log(high), cos(log(open)))",3,6
alpha_25,4.029206838475634,cos(sin(close)),2,3
alpha_24,4.02324769515544,"sqrt(sin(sin(div(sqrt(low), log(low)))))",5,8
alpha_26,3.942133915518427,"cos(cos(log(sin(sub(volume, close)))))",5,7
alpha_27,3.932774834810988,"cos(cos(ts_min_5(add(high, open))))",4,6
alpha_28,3.440583350116034,cos(log(low)),2,3
alpha_29,3.362839292042889,sqrt(sin(high)),2,3
alpha_30,3.2508394398194795,"abs(sub(ts_wma_55(open), high))",3,5
alpha_31,3.1980714674223187,"cos(ts_wma_55(tan(div(volume, low))))",4,6
alpha_32,3.1327767154545816,"add(close, abs(ts_wma_55(ts_wma_55(open))))",4,6
alpha_33,3.0179475126294575,"cos(tan(ts_wma_8(sub(ts_min_5(high), ts_wma_8(low)))))",5,8
alpha_34,2.994679608151932,sqrt(sin(volume)),2,3
alpha_35,2.7577735258689486,"log(add(open, high))",2,4
alpha_36,2.6934156532674214,sqrt(ts_min_5(ts_wma_8(high))),3,4
alpha_37,2.6661337699458523,sqrt(ts_min_5(ts_min_5(ts_wma_55(open)))),4,5
alpha_39,2.5367056129073395,abs(high),1,2
alpha_40,2.5361254142735548,abs(close),1,2
alpha_42,2.5359455672883597,abs(open),1,2
alpha_46,2.535361246123465,abs(low),1,2
alpha_41,2.506125414273555,"div(close, div(close, close))",2,5
alpha_38,2.497187077347256,"add(abs(sub(high, low)), open)",3,6
alpha_49,2.4927997810083458,sqrt(ta_dema_8(log(ts_wma_8(log(volume))))),5,6
alpha_50,2.4694276082330173,sin(sqrt(ta_dema_8(abs(close)))),4,5
alpha_52,2.1506403541346275,abs(sin(close)),2,3
alpha_51,2.1404358222176665,"sqrt(abs(add(abs(log(high)), sin(sin(volume)))))",5,9
alpha_53,2.090866646850194,"add(ts_min_5(high), add(low, low))",2,6
alpha_54,2.069709420585141,sqrt(ta_dema_8(log(low))),3,4
alpha_55,2.037868725171854,"sqrt(ta_dema_8(div(volume, high)))",3,5
alpha_58,1.8723914973936142,sqrt(ta_dema_8(open)),2,3
alpha_59,1.854508130392302,sqrt(ts_wma_55(high)),2,3
alpha_57,1.835065213622677,"sqrt(ts_wma_8(sub(high, add(high, open))))",4,7
alpha_56,1.8251186210893722,"abs(sub(sin(abs(cos(volume))), sqrt(add(sub(open, close), volume))))",5,12
alpha_60,1.7684371189814783,"cos(ta_lr_angle_20(log(add(tan(high), sub(high, open)))))",5,9
alpha_64,1.693830258685301,cos(ts_wma_8(ta_dema_8(low))),3,4
alpha_63,1.6750742007347996,sqrt(ta_lr_angle_20(abs(ts_wma_55(ta_lr_angle_20(open))))),5,6
alpha_66,1.6716748765782823,sin(sin(close)),2,3
alpha_67,1.6700465947181564,sin(low),1,2
alpha_69,1.6584422054171224,sqrt(ta_lr_angle_20(open)),2,3
alpha_62,1.6556114739637984,"sqrt(ta_dema_8(mul(sub(open, volume), ts_wma_8(high))))",4,8
alpha_72,1.6547606935515113,sin(close),1,2
alpha_74,1.6398054872131467,sin(high),1,2
alpha_70,1.6372869934874987,sqrt(ts_wma_8(ta_lr_angle_20(ts_wma_8(low)))),4,5
