,fitness,expression,depth,length
alpha_1,8.380006081463957,"sin(neg(min(sqrt(high), abs(low))))",4,7
alpha_3,4.860492461139989,neg(sqrt(high)),2,3
alpha_2,4.780604628019089,"min(div(neg(close), sqrt(low)), min(cos(low), log(high)))",3,11
alpha_4,4.730760652885655,"sub(add(neg(min(low, volume)), open), sqrt(max(add(high, open), low)))",4,13
alpha_5,3.559699624294372,neg(sqrt(sin(abs(close)))),4,5
alpha_6,2.75505392437398,"sub(div(add(close, high), neg(open)), sin(tan(close)))",3,10
alpha_7,2.629104742115686,"log(tanh(add(close, volume)))",3,5
alpha_11,2.602353788775218,neg(high),1,2
alpha_12,2.601900378489033,neg(close),1,2
alpha_17,2.6012665652774754,neg(low),1,2
alpha_9,2.5823538149151952,"neg(max(open, high))",2,4
alpha_19,2.575709970767997,"neg(min(volume, close))",2,4
alpha_14,2.561722891231393,"min(neg(open), div(close, open))",2,6
alpha_15,2.5613166437076695,"sub(sub(close, open), abs(open))",2,6
alpha_16,2.5612981202776957,"sub(inv(add(volume, close)), open)",3,6
alpha_10,2.552353788775218,"sub(min(open, open), add(open, high))",2,7
alpha_8,2.512696568479605,"min(add(sub(close, max(low, high)), neg(high)), abs(high))",4,11
alpha_20,2.4753370236749044,"log(sqrt(min(sub(close, low), max(low, close))))",4,9
alpha_21,2.355890817623387,"min(sin(neg(high)), sin(sub(volume, high)))",3,8
alpha_22,2.3239704600844777,"add(neg(add(close, low)), cos(inv(high)))",3,8
alpha_24,1.9636367341404781,"neg(abs(sub(sin(div(high, volume)), sin(add(volume, low)))))",5,11
alpha_23,1.9333988473242278,"sub(cos(sub(inv(high), sin(high))), add(min(add(close, low), min(open, high)), close))",4,16
alpha_25,1.9295423235574056,"neg(inv(abs(log(sub(volume, low)))))",5,7
alpha_26,1.83536137420453,"min(sin(close), neg(sqrt(sub(cos(low), max(volume, volume)))))",5,11
alpha_29,1.7950348848815016,sin(neg(low)),2,3
alpha_31,1.7789934253833972,neg(sin(close)),2,3
alpha_30,1.7590695086280332,"neg(sin(min(open, high)))",3,5
alpha_32,1.759014195713341,neg(inv(low)),2,3
alpha_33,1.7582519454866923,inv(neg(close)),2,3
alpha_34,1.757431140868704,neg(inv(high)),2,3
alpha_28,1.6988653018889892,"sub(abs(div(tanh(div(open, open)), abs(tanh(volume)))), sqrt(inv(log(mul(low, high)))))",5,16
alpha_27,1.6553609025096683,"min(sub(tanh(max(tan(volume), abs(high))), tan(sqrt(log(volume)))), min(inv(inv(log(low))), sub(div(cos(low), div(volume, open)), max(sqrt(volume), tanh(close)))))",5,29
alpha_37,1.5933556577327932,neg(sin(tanh(high))),3,4
alpha_36,1.5599679137343792,"sub(min(log(inv(close)), cos(tanh(close))), sin(tan(div(low, volume))))",4,13
alpha_35,1.4875496178568017,"add(sub(sub(cos(volume), div(low, high)), add(mul(high, open), cos(close))), min(div(sqrt(open), add(high, close)), sqrt(sqrt(close))))",4,24
alpha_38,1.3746418996072767,log(cos(tanh(sin(volume)))),4,5
alpha_40,1.3072281526548581,log(inv(inv(inv(close)))),4,5
alpha_41,1.2870347688392239,"min(sqrt(log(volume)), neg(log(open)))",3,7
alpha_43,1.2522704880877582,"add(inv(high), neg(open))",2,5
alpha_44,1.2210200621615668,"neg(add(tanh(log(close)), abs(tanh(low))))",4,8
alpha_39,1.1981884804176766,"sub(mul(log(max(close, volume)), neg(log(close))), mul(abs(max(high, open)), tanh(neg(volume))))",4,17
alpha_42,1.1498043654264463,"mul(log(neg(tanh(tanh(high)))), neg(min(cos(tanh(low)), min(neg(low), sub(close, close)))))",5,17
alpha_47,1.0823085784349287,neg(tanh(open)),2,3
alpha_49,1.0652694641730451,tan(neg(log(high))),3,4
alpha_45,1.0501434414664501,"min(tan(inv(mul(add(low, open), cos(volume)))), neg(inv(add(max(close, open), neg(low)))))",5,17
alpha_48,1.041520712611401,"neg(min(tanh(close), div(volume, high)))",3,7
alpha_51,0.9981164392663768,sin(log(volume)),2,3
alpha_46,0.9965212463451045,"log(div(add(neg(sin(high)), tanh(add(close, low))), div(div(add(low, open), log(high)), tan(max(open, open)))))",5,21
alpha_50,0.9615084870231353,"log(div(inv(low), cos(div(low, add(low, high)))))",5,10
