年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2005,-0.03926310071319128,-0.04628332885958819,0.19493648665167176,-0.237427736872528,0.16748209806404152,2005-02-25,2005-06-03,-0.27634791655100027,3408.0,0.33656103286384975,0.985690785813552,fct_abs
2006,1.3301561114279918,1.421885621407784,0.22484197219209712,6.323933238732556,0.1316863866951528,2006-07-03,2006-08-07,10.797514132568432,3856.0,0.454097510373444,1.2266742417974514,fct_abs
2007,1.0506037712976304,1.11236725901133,0.3626521176587209,3.0673121838988946,0.19105622405801637,2007-10-16,2007-11-28,5.822198488930396,3872.0,0.4997417355371901,1.1056259839695661,fct_abs
2008,-0.622053539562484,-0.6309172873032869,0.5057082257953874,-1.2475915065667922,0.6760485020869853,2008-01-14,2008-10-27,-0.9332426377036902,3936.0,0.44410569105691056,0.8910398870993695,fct_abs
2009,0.8448152489390957,0.8822298056857636,0.3307918886886527,2.6670236963280987,0.27929448928658734,2009-08-03,2009-08-31,3.1587798525465973,3904.0,0.5,1.0866128463798816,fct_abs
2010,-0.2235010913224469,-0.2315754784548516,0.2509140551784939,-0.9229274872231237,0.28489880405765383,2010-01-05,2010-07-05,-0.8128341542914607,3872.0,0.443698347107438,0.9455314059823646,fct_abs
2011,-0.17941622086914677,-0.1847190660334519,0.201901639686797,-0.9148963144628254,0.2667404863211019,2011-04-13,2011-12-27,-0.6925047958827191,3904.0,0.4172643442622951,0.9519408405527343,fct_abs
2012,0.16306447772895538,0.1695897721059687,0.1875677749955007,0.9041519637903512,0.16324578963366426,2012-05-04,2012-12-03,1.0388615380925954,3888.0,0.42309670781893005,1.0490370814685428,fct_abs
2013,-0.13492150011829296,-0.14226545421153625,0.24520593510612654,-0.5801876457434154,0.2626676544636101,2013-02-06,2013-06-26,-0.5416177127025956,3808.0,0.43618697478991597,0.9692953507294708,fct_abs
2014,0.6664572956386035,0.690951556452988,0.22276855610931504,3.1016565736231207,0.09626341102478855,2014-01-02,2014-03-20,7.177717360078408,3920.0,0.425765306122449,1.1636276724887478,fct_abs
2015,-0.022719923310518753,-0.023456034424452432,0.39168986649013027,-0.05988420031040929,0.41947241672016267,2015-06-08,2015-08-25,-0.05591794237116754,3904.0,0.47464139344262296,0.9970552927226053,fct_abs
2016,-0.022938708269984454,-0.02368182163533339,0.19169939613101025,-0.12353623492454235,0.17287623693148688,2016-01-06,2016-01-28,-0.13698714210628501,3904.0,0.4234118852459016,0.992302652762953,fct_abs
2017,0.26676245210726535,0.27662174380209903,0.11538223493533978,2.397437906772372,0.06480783722682637,2017-11-22,2017-12-15,4.268337837504552,3904.0,0.43673155737704916,1.1021399886307324,fct_abs
2018,-0.1895718457605643,-0.1958564621395773,0.22213418479396974,-0.881703382670411,0.2705939009019018,2018-02-05,2018-12-27,-0.7238022050267164,3888.0,0.43647119341563784,0.951368419968306,fct_abs
2019,0.3644874241749254,0.37846190364577814,0.19329220145130652,1.957978132610378,0.11451025462507909,2019-04-19,2019-05-23,3.3050481363866475,3904.0,0.4574795081967213,1.0917834260309986,fct_abs
2020,0.202242417065027,0.21047190769890323,0.22797763834572263,0.9232129485424689,0.17009797200055432,2020-01-02,2020-03-23,1.2373569491952399,3888.0,0.47453703703703703,1.0539065474580482,fct_abs
2021,-0.08870281010503545,-0.09183249556832174,0.1917476807863107,-0.4789236312623911,0.22534309709135936,2021-02-10,2021-08-20,-0.4075230027174549,3888.0,0.47093621399176955,0.9754171222693307,fct_abs
2022,-0.2204933017835442,-0.25019606011320306,0.20697318458397468,-1.2088332148732615,0.28401788437726905,2022-01-04,2022-10-31,-0.8809165685526356,3488.0,0.45126146788990823,0.9312019943635709,fct_abs
样本内,3.9103315691130254,0.1172500442062292,0.2767081156358741,0.4237318588823789,0.6876065359652045,2007-10-16,2008-10-27,0.17051909496707066,57857.0,0.4416233126501547,1.0189576529903406,fct_abs
样本外,-0.14599845524205424,-0.054851356351179215,0.20948120398141926,-0.26184380893688425,0.4130765205403245,2021-02-10,2022-10-31,-0.13278739803325285,11279.0,0.46626473978189553,0.9874695247148693,fct_abs
总体,3.193430745296216,0.0871967564405165,0.2669390147947704,0.3266542229038929,0.6876065359652045,2007-10-16,2008-10-27,0.12681199476691563,69136.0,0.4456433695903726,1.0121202371228375,fct_abs
2005,-0.053333366022940365,-0.06278595680370602,0.18636720170418403,-0.33689381087217585,0.1614180698195817,2005-02-25,2005-06-03,-0.38896485922475965,3408.0,0.3371478873239437,0.9802463958348042,fct_new
2006,1.2866794296328061,1.3746551343043971,0.21931029386750275,6.268083043721153,0.13068591517595843,2006-07-03,2006-08-07,10.51877038511404,3856.0,0.4546161825726141,1.2238208570100424,fct_new
2007,0.8251017882719609,0.8710443327396993,0.3539302306352376,2.4610622584466437,0.19519808487102533,2007-10-16,2007-11-28,4.462361059101736,3872.0,0.5012913223140496,1.091595786949059,fct_new
2008,-0.6283357829553642,-0.6372005481510298,0.4948207408232387,-1.287740176555478,0.6841827207910888,2008-01-14,2008-10-27,-0.9313309570494038,3936.0,0.44639227642276424,0.884648796542066,fct_new
2009,0.8612381715038295,0.899537695447655,0.33130462674661365,2.715137739792671,0.27704458346912203,2009-08-03,2009-08-31,3.246905910174248,3904.0,0.5,1.088245552898632,fct_new
2010,-0.2211334656424082,-0.22913550043252695,0.2506437353030126,-0.9141880213184521,0.2842063588782121,2010-01-05,2010-07-05,-0.8062293234287412,3872.0,0.443698347107438,0.946127273383623,fct_new
2011,-0.17960545907138337,-0.18491324502635997,0.20194310352606964,-0.9156700169386511,0.26700442561722376,2011-04-13,2011-12-27,-0.6925474909223066,3904.0,0.4172643442622951,0.951881952603868,fct_new
2012,0.16303601565658488,0.16956009029745234,0.1875683305394906,0.9039910405437723,0.1632722900060619,2012-05-04,2012-12-03,1.0385111294216367,3888.0,0.42309670781893005,1.0490294187705138,fct_new
2013,-0.13919901022534742,-0.1467554791058957,0.24506838143679824,-0.5988348160031535,0.26732139398693516,2013-02-06,2013-07-29,-0.5489851632042144,3808.0,0.43618697478991597,0.9681451966128451,fct_new
2014,0.6242862512684137,0.6469541115994395,0.21405394456511304,3.0223881784278106,0.09624764150665376,2014-01-02,2014-03-10,6.721765868462496,3920.0,0.42551020408163265,1.15767050306126,fct_new
2015,0.11829644193196831,0.12240340113861681,0.39357421598128217,0.3110046242064753,0.3503306778002525,2015-05-26,2015-08-25,0.3493938980942096,3904.0,0.4725922131147541,1.0150482701086025,fct_new
2016,-0.02291020538431876,-0.023652406603661857,0.19165167412904024,-0.12341351418478373,0.17230266445458206,2016-01-06,2016-01-28,-0.1372724367236729,3904.0,0.4234118852459016,0.9922953973604685,fct_new
2017,0.2667624521072758,0.2766217438021099,0.11538223493533997,2.397437906772462,0.06480783722682637,2017-11-22,2017-12-15,4.26833783750472,3904.0,0.43673155737704916,1.102139988630736,fct_new
2018,-0.1883723493988334,-0.1946221523991587,0.2220001929393626,-0.8766756002429152,0.2695143234495193,2018-02-05,2018-12-27,-0.7221217407230377,3888.0,0.43647119341563784,0.9516071520109961,fct_new
2019,0.36893603619950266,0.3831036741385756,0.19289009009019942,1.9861241910324599,0.11160936705356686,2019-04-19,2019-05-23,3.432540513868385,3904.0,0.4574795081967213,1.0929124509920538,fct_new
2020,0.20650853762198995,0.21492660875369918,0.22567295968857687,0.9523808658790694,0.16369846818706324,2020-01-02,2020-03-23,1.3129420887927672,3888.0,0.4742798353909465,1.055140512132041,fct_new
2021,-0.08913890108396794,-0.0922831809253446,0.1914540319352229,-0.48201220936714434,0.22587507419738612,2021-02-10,2021-08-20,-0.40855849744935036,3888.0,0.47093621399176955,0.9752801705540478,fct_new
2022,-0.2296414582218601,-0.26035869999948613,0.2045682599661774,-1.2727228556499084,0.2926100788626984,2022-01-04,2022-10-31,-0.8897803555210222,3488.0,0.4509747706422018,0.9275315094884519,fct_new
样本内,3.6884801466295762,0.11365706059195113,0.27422828827039647,0.41446147408352785,0.6971722075827448,2007-10-16,2008-10-27,0.16302580532581198,57857.0,0.4417961525830928,1.0203632861638126,fct_new
样本外,-0.15343134599652286,-0.05780004653722004,0.20782127967917738,-0.278123812087234,0.42039647407436764,2021-02-10,2022-10-31,-0.13748937039608777,11279.0,0.4660874190974377,0.986805652111936,fct_new
总体,2.969120327054242,0.0837166598581427,0.2645750541624784,0.31641932427511243,0.6971722075827448,2007-10-16,2008-10-27,0.1200803172409977,69136.0,0.4457590835454756,1.0125994831127068,fct_new
2005,-0.0765201611173495,-0.08988299805385891,0.16744285449739907,-0.536798051631729,0.15186290872103786,2005-04-08,2005-06-03,-0.5918693301138335,3408.0,0.3359741784037559,0.9668930241766458,factor
2006,0.745120083418106,0.7900410338307537,0.19957634323323575,3.958590587600199,0.12588708989954928,2006-06-08,2006-08-21,6.275790745986435,3856.0,0.433350622406639,1.1756922792673408,factor
2007,2.8015976818167094,3.017276254260624,0.3014615815630256,10.008825133261007,0.11599949939577577,2007-10-16,2007-12-03,26.011114444262,3872.0,0.4850206611570248,1.2287787201165288,factor
2008,-0.1497057744278858,-0.1530624152422546,0.38864501015453845,-0.39383604894706303,0.339803892250255,2008-03-06,2008-11-03,-0.45044338435514125,3936.0,0.4448678861788618,0.9795831942950843,factor
2009,1.5749468144704561,1.656048952237334,0.24756796010248944,6.689270095983965,0.09077737796632757,2009-08-03,2009-08-17,18.242969662018872,3904.0,0.49769467213114754,1.1806283651684235,factor
2010,0.06766619958161502,0.07055877196867089,0.2000389313910775,0.35272519942994496,0.1277980303210183,2010-01-12,2010-07-05,0.552111576300769,3872.0,0.4478305785123967,1.01852127173731,factor
2011,-0.09578057074066815,-0.09876055830503205,0.16635954477786985,-0.5936573007391985,0.22883377360275217,2011-04-13,2011-12-28,-0.431582090135336,3904.0,0.4203381147540984,0.9702343897643709,factor
2012,0.16690106182135112,0.17359101816860179,0.17122440003514774,1.0138217341276607,0.13614743431614423,2012-05-04,2012-09-05,1.2750223244421253,3888.0,0.419238683127572,1.0589490737818583,factor
2013,-0.00922288718219233,-0.009762753279765723,0.22968556751892796,-0.04250486169080342,0.17239840640741882,2013-02-06,2013-06-21,-0.05662902275728694,3808.0,0.4322478991596639,0.9975229012113616,factor
2014,0.8645194929094409,0.898005260500093,0.21324246627169016,4.211193371567712,0.07713218482072358,2014-04-10,2014-06-09,11.642419601976844,3920.0,0.42857142857142855,1.2386873144263202,factor
2015,0.45854340943378036,0.4767050647871802,0.33954619539063746,1.4039475961105843,0.31660608923753625,2015-06-30,2015-07-10,1.5056724459570594,3904.0,0.4725922131147541,1.0598934124603416,factor
2016,0.16078749610056153,0.16647587540524822,0.14976693572153776,1.1115662786529694,0.11034818377570546,2016-01-04,2016-01-28,1.508641734816663,3904.0,0.42008196721311475,1.0570234946573434,factor
2017,0.22419007553128423,0.2323360256626934,0.11045108347391983,2.1035196609687725,0.07699935411925368,2017-11-22,2017-12-15,3.0173762925707166,3904.0,0.4349385245901639,1.100157777300267,factor
2018,-0.09919478000511683,-0.1026733691783317,0.1816481867525782,-0.5652320070674992,0.17300370706391727,2018-02-23,2018-09-12,-0.5934749660618451,3888.0,0.43930041152263377,0.9699522291457898,factor
2019,0.2933697441685499,0.3043247538497065,0.17222021760629977,1.7670675259823523,0.10974438592104993,2019-04-16,2019-05-24,2.7730325455430367,3904.0,0.4546618852459016,1.0898951542023207,factor
2020,0.14196653363581446,0.1475951045536319,0.21688125600911143,0.6805341654210599,0.13794250525961013,2020-07-06,2020-07-27,1.0699755254977819,3888.0,0.4683641975308642,1.0448269948927034,factor
2021,-0.07183523177638718,-0.0743943262597817,0.16756126617275252,-0.4439828366006888,0.14936273280518697,2021-01-12,2021-11-30,-0.498078234527309,3888.0,0.4755658436213992,0.9762213684519097,factor
2022,-0.21123890133741274,-0.23989645072192645,0.16834911143570255,-1.4249938635022135,0.2575423324025612,2022-01-04,2022-10-31,-0.9314835680953114,3488.0,0.44753440366972475,0.91887034865014,factor
样本内,70.42960566978859,0.34636107810432404,0.22996191116283068,1.50616715765192,0.339803892250255,2008-03-06,2008-11-03,1.0192969709989075,57857.0,0.4387714537566759,1.058055807322744,factor
样本外,-0.16402081350566688,-0.06202985078131473,0.18634323112414902,-0.3328795492442012,0.3453299689048468,2021-01-12,2022-10-31,-0.17962487002802416,11279.0,0.4645801932795461,0.9825876153722377,factor
总体,58.71366363944079,0.2693468898884954,0.22359398878135892,1.2046249157077114,0.34532996890484996,2021-01-12,2022-10-31,0.7799696352525649,69136.0,0.44298194862300394,1.0311315254398816,factor
